問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
求める,もとめる,ほしいとねがう,,15,もとめる,,,
泣く,なく,なみだを流す,,15,なく,,,
給食,きゅうしょく,学校で出る食事,,15,きゅうしょく,,,
挙げる,あげる,上へ持ち上げる,,15,あげる,,,
漁,りょう,魚をとること,,15,りょう,,,
競争,きょうそう,勝ち負けをきそうこと,,15,きょうそう,,,
共に,ともに,いっしょに,,15,ともに,,,
協力,きょうりょく,力を合わせること,,15,きょうりょく,,,
鏡,かがみ,すがたを映すもの,,15,かがみ,,,
極める,きわめる,いちばん先まで行く,,15,きわめる,,,
熊,くま,山にすむ大きなけもの,,15,くま,,,
音訓,おんくん,漢字の二通りの読み方,,15,おんくん,,,
群れ,むれ,集まったかたまり,,15,むれ,,,
軍隊,ぐんたい,兵たいの集まり,,15,ぐんたい,,,
郡,ぐん,県の中の区分け,,15,ぐん,,,
直径,ちょっけい,円を横切る長さ,,15,ちょっけい,,,
風景,ふうけい,目に見えるながめ,,15,ふうけい,,,
芸,げい,身につけたわざ,,15,げい,,,
欠ける,かける,一部がなくなる,,15,かける,,,
結ぶ,むすぶ,ひもなどをつなぐ,,15,むすぶ,,,
健やか,すこやか,元気でじょうぶなようす,,15,すこやか,,,
建てる,たてる,たてものを作る,,15,たてる,,,
実験,じっけん,ためして確かめること,,15,じっけん,,,
固い,かたい,やわらかくない,,15,かたい,,,
天候,てんこう,空もようのようす,,15,てんこう,,,
成功,せいこう,うまくいくこと,,15,せいこう,,,
好き,すき,心がひかれる,,15,すき,,,
健康,けんこう,体の調子がよいこと,,15,けんこう,,,
香川,かがわ,四国地方の県,,15,かがわ,,,
佐賀,さが,九州地方の県,,15,さが,,,
差す,さす,光がとどく,,15,さす,,,
最も,もっとも,いちばん,,15,もっとも,,,
野菜,やさい,畑でとれる食べ物,,15,やさい,,,
木材,もくざい,たてものに使う木,,15,もくざい,,,
大阪,おおさか,近畿地方の府,,15,おおさか,,,
長崎,ながさき,九州地方の県,,15,ながさき,,,
埼玉,さいたま,関東地方の県,,15,さいたま,,,
昨年,さくねん,去年のこと,,15,さくねん,,,
印刷,いんさつ,文字や絵を紙にすること,,15,いんさつ,,,
観察,かんさつ,よく見て調べること,,15,かんさつ,,,
札,ふだ,目印に書いた紙,,15,ふだ,,,
参加,さんか,仲間に入ること,,15,さんか,,,
散る,ちる,ばらばらに落ちる,,15,ちる,,,
産む,うむ,子をこの世に出す,,15,うむ,,,
残る,のこる,あとにとどまる,,15,のこる,,,
司会,しかい,会を進める役,,15,しかい,,,
氏名,しめい,名字と名前,,15,しめい,,,
試す,ためす,うまくいくか調べる,,15,ためす,,,
児童,じどう,小学校の子ども,,15,じどう,,,
滋賀,しが,近畿地方の県,,15,しが,,,
治る,なおる,病気がよくなる,,15,なおる,,,
辞書,じしょ,ことばの意味を調べる本,,15,じしょ,,,
鹿,しか,森にすむ角のある動物,,15,しか,,,
失う,うしなう,持っていたものをなくす,,15,うしなう,,,
借りる,かりる,あとで返す約束でもらう,,15,かりる,,,
種,たね,植物のもとになるつぶ,,15,たね,,,
周り,まわり,そのものの外がわ,,15,まわり,,,
祝う,いわう,めでたいことをよろこぶ,,15,いわう,,,
順番,じゅんばん,ならぶきまり,,15,じゅんばん,,,
初めて,はじめて,そのときが一回目,,15,はじめて,,,
合唱,がっしょう,みんなで歌うこと,,15,がっしょう,,,
松,まつ,冬もみどりの木,,15,まつ,,,
焼く,やく,火であぶる,,15,やく,,,
照らす,てらす,光を当てて明るくする,,15,てらす,,,
反省,はんせい,自分をふり返ること,,15,はんせい,,,
笑う,わらう,うれしくて声を出す,,15,わらう,,,
お城,おしろ,むかしの大名が住んだたてもの,,15,おしろ,,,
信じる,しんじる,本当だと思う,,15,しんじる,,,
大臣,だいじん,国の仕事の責任者,,15,だいじん,,,
成る,なる,できあがる,,15,なる,,,
清い,きよい,にごりがない,,15,きよい,,,
静か,しずか,音がしない,,15,しずか,,,
席,せき,すわる場所,,15,せき,,,
積む,つむ,上へ重ねる,,15,つむ,,,
折る,おる,曲げて二つにする,,15,おる,,,
節目,ふしめ,区切りとなるところ,,15,ふしめ,,,
説明,せつめい,わかるように話すこと,,15,せつめい,,,
戦う,たたかう,相手と争う,,15,たたかう,,,
浅い,あさい,そこまでが近い,,15,あさい,,,
選ぶ,えらぶ,いくつかから取り出す,,15,えらぶ,,,
自然,しぜん,人の手が入らないもの,,15,しぜん,,,
倉,くら,物をしまうたてもの,,15,くら,,,
巣,す,鳥や虫のすみか,,15,す,,,
争う,あらそう,勝とうとしてぶつかる,,15,あらそう,,,
側,がわ,そのものの片方,,15,がわ,,,
束,たば,まとめてしばったもの,,15,たば,,,
続く,つづく,とぎれずにつながる,,15,つづく,,,
卒業,そつぎょう,学校を出ること,,15,そつぎょう,,,
孫,まご,子どもの子ども,,15,まご,,,
帯,おび,着物のこしにまくぬの,,15,おび,,,
隊,たい,まとまって動く集まり,,15,たい,,,
配達,はいたつ,品物をとどけること,,15,はいたつ,,,
単語,たんご,ことばの一つ一つ,,15,たんご,,,
置く,おく,そこにすえる,,15,おく,,,
仲間,なかま,いっしょに行動する人,,15,なかま,,,
兆,ちょう,億の一万倍の数,,15,ちょう,,,
低い,ひくい,高さがすくない,,15,ひくい,,,
底,そこ,いちばん下の面,,15,そこ,,,
目的,もくてき,めざすところ,,15,もくてき,,,
辞典,じてん,ことばを集めた本,,15,じてん,,,
伝える,つたえる,知らせをとどける,,15,つたえる,,,
生徒,せいと,学校で学ぶ人,,15,せいと,,,
努める,つとめる,力をつくす,,15,つとめる,,,
電灯,でんとう,電気であかりをつける道具,,15,でんとう,,,
働く,はたらく,仕事をする,,15,はたらく,,,
徳,とく,人としてよいおこない,,15,とく,,,
特別,とくべつ,ふつうとちがうこと,,15,とくべつ,,,
栃木,とちぎ,関東地方の県,,15,とちぎ,,,
奈良,なら,近畿地方の県,,15,なら,,,
沖縄,おきなわ,日本のいちばん南の県,,15,おきなわ,,,
熱い,あつい,温度がとても高い,,15,あつい,,,
記念,きねん,思い出にのこすこと,,15,きねん,,,
失敗,しっぱい,うまくいかないこと,,15,しっぱい,,,
梅,うめ,春先に花がさく木,,15,うめ,,,
博物館,はくぶつかん,しりょうを集めて見せる所,,15,はくぶつかん,,,
ご飯,ごはん,たいた米,,15,ごはん,,,
飛ぶ,とぶ,空を進む,,15,とぶ,,,
必ず,かならず,まちがいなくそうなる,,15,かならず,,,
愛媛,えひめ,四国地方の県,,15,えひめ,,,
目標,もくひょう,めざすしるし,,15,もくひょう,,,
投票,とうひょう,選ぶために紙を出すこと,,15,とうひょう,,,
不安,ふあん,心配な気持ち,,15,ふあん,,,
付ける,つける,くっつける,,15,つける,,,
夫,おっと,けっこんした男の人,,15,おっと,,,
富山,とやま,中部地方の県,,15,とやま,,,
府,ふ,大阪と京都の行政区分,,15,ふ,,,
岐阜,ぎふ,中部地方の県,,15,ぎふ,,,
副会長,ふくかいちょう,会長を助ける役の人,,15,ふくかいちょう,,,
兵,へい,戦いに出る人,,15,へい,,,
別れる,わかれる,はなればなれになる,,15,わかれる,,,
変わる,かわる,ようすがちがってくる,,15,かわる,,,
辺り,あたり,近くの場所,,15,あたり,,,
便り,たより,手紙などの知らせ,,15,たより,,,
包む,つつむ,中に入れておおう,,15,つつむ,,,
方法,ほうほう,やり方,,15,ほうほう,,,
望む,のぞむ,こうしたいと強く思う,,15,のぞむ,,,
牧場,まきば,家ちくを育てる広い場所,,15,まきば,,,
末,すえ,いちばんおわりのころ,,15,すえ,,,
満ちる,みちる,いっぱいになる,,15,みちる,,,
未来,みらい,これから先の時,,15,みらい,,,
国民,こくみん,その国にぞくする人々,,15,こくみん,,,
無い,ない,そこにそんざいしない,,15,ない,,,
約束,やくそく,前もってきめておくこと,,15,やくそく,,,
勇気,ゆうき,こわがらずに立ち向かう心,,15,ゆうき,,,
必要,ひつよう,なくてはならないこと,,15,ひつよう,,,
養う,やしなう,食べさせて育てる,,15,やしなう,,,
浴びる,あびる,上から受ける,,15,あびる,,,
便利,べんり,役に立って助かること,,15,べんり,,,
山梨,やまなし,中部地方の県,,15,やまなし,,,
陸,りく,海でない土地,,15,りく,,,
材料,ざいりょう,物を作るもとになるもの,,15,ざいりょう,,,
良い,よい,すぐれている,,15,よい,,,
重量,じゅうりょう,物の重さ,,15,じゅうりょう,,,
輪,わ,まるい形のもの,,15,わ,,,
種類,しゅるい,分けたときのなかま,,15,しゅるい,,,
命令,めいれい,言いつけること,,15,めいれい,,,
例,れい,たとえとして出すもの,,15,れい,,,
冷たい,つめたい,温度がひくい,,15,つめたい,,,
連れる,つれる,いっしょに行く,,15,つれる,,,
労働,ろうどう,はたらくこと,,15,ろうどう,,,
老いる,おいる,年をとる,,15,おいる,,,
記録,きろく,書きとめたもの,,15,きろく,,,
