問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
一冊,いっさつ,本を数える言い方,,15,いっさつ,,,
蚕,かいこ,絹の糸を出す虫,,15,かいこ,,,
姿,すがた,目に見える形,,15,すがた,,,
私,わたし,自分をさすことば,,15,わたし,,,
至る,いたる,そこまで行きつく,,15,いたる,,,
視力,しりょく,目が見える強さ,,15,しりょく,,,
歌詞,かし,歌のことば,,15,かし,,,
雑誌,ざっし,ていきてきに出る本,,15,ざっし,,,
磁石,じしゃく,鉄を引きつけるもの,,15,じしゃく,,,
発射,はっしゃ,いきおいよくとばすこと,,15,はっしゃ,,,
捨てる,すてる,いらないものを手放す,,15,すてる,,,
尺,しゃく,むかしの長さの単位,,15,しゃく,,,
若い,わかい,年がすくない,,15,わかい,,,
樹木,じゅもく,生えている木,,15,じゅもく,,,
収入,しゅうにゅう,入ってくるお金,,15,しゅうにゅう,,,
宗教,しゅうきょう,神仏を信じる教え,,15,しゅうきょう,,,
就職,しゅうしょく,仕事につくこと,,15,しゅうしょく,,,
衆議院,しゅうぎいん,国会の一方の議院,,15,しゅうぎいん,,,
従う,したがう,言うとおりにする,,15,したがう,,,
縦,たて,上下のむき,,15,たて,,,
縮む,ちぢむ,小さくなる,,15,ちぢむ,,,
熟れる,うれる,実が食べごろになる,,15,うれる,,,
単純,たんじゅん,まじりけがないこと,,15,たんじゅん,,,
処理,しょり,きちんと片づけること,,15,しょり,,,
消防署,しょうぼうしょ,火事に対応する役所,,15,しょうぼうしょ,,,
諸国,しょこく,いろいろな国,,15,しょこく,,,
除く,のぞく,取り去る,,15,のぞく,,,
傷,きず,けがのあと,,15,きず,,,
将来,しょうらい,これから先,,15,しょうらい,,,
承知,しょうち,引き受けること,,15,しょうち,,,
故障,こしょう,機械の調子がわるくなること,,15,こしょう,,,
蒸す,むす,湯気で熱を通す,,15,むす,,,
針,はり,先のとがった細いもの,,15,はり,,,
仁,じん,思いやりの心,,15,じん,,,
垂れる,たれる,下へさがる,,15,たれる,,,
推理,すいり,手がかりから考えること,,15,すいり,,,
寸法,すんぽう,物の長さ,,15,すんぽう,,,
盛る,もる,高く積み上げる,,15,もる,,,
聖火,せいか,大会でともす火,,15,せいか,,,
誠,まこと,うそのない心,,15,まこと,,,
舌,した,口の中で味を感じるもの,,15,した,,,
宣言,せんげん,はっきりと言い表すこと,,15,せんげん,,,
専門,せんもん,一つのことにしぼること,,15,せんもん,,,
泉,いずみ,水がわき出るところ,,15,いずみ,,,
洗う,あらう,水できれいにする,,15,あらう,,,
染める,そめる,色をしみこませる,,15,そめる,,,
銭,ぜに,お金のこと,,15,ぜに,,,
善い,よい,道にかなっている,,15,よい,,,
創る,つくる,新しく生み出す,,15,つくる,,,
演奏,えんそう,楽器を鳴らすこと,,15,えんそう,,,
地層,ちそう,土や岩の重なり,,15,ちそう,,,
体操,たいそう,体を動かす運動,,15,たいそう,,,
窓,まど,光や風を入れる開き口,,15,まど,,,
服装,ふくそう,着ているもののようす,,15,ふくそう,,,
心臓,しんぞう,血を送り出す内ぞう,,15,しんぞう,,,
蔵,くら,大切な物をしまうたてもの,,15,くら,,,
存在,そんざい,そこにあること,,15,そんざい,,,
尊い,とうとい,大切でおごそかである,,15,とうとい,,,
退く,しりぞく,後ろへさがる,,15,しりぞく,,,
自宅,じたく,自分の家,,15,じたく,,,
担当,たんとう,受け持つこと,,15,たんとう,,,
探す,さがす,見つけようとする,,15,さがす,,,
誕生,たんじょう,生まれること,,15,たんじょう,,,
暖かい,あたたかい,気温がちょうどよい,,15,あたたかい,,,
階段,かいだん,上り下りするための足場,,15,かいだん,,,
値,あたい,ねだんや数のこと,,15,あたい,,,
宙返り,ちゅうがえり,空中で体を回すわざ,,15,ちゅうがえり,,,
忠実,ちゅうじつ,まごころをつくすこと,,15,ちゅうじつ,,,
著者,ちょしゃ,本を書いた人,,15,ちょしゃ,,,
県庁,けんちょう,県の役所,,15,けんちょう,,,
潮,しお,海の水の満ち引き,,15,しお,,,
腸,ちょう,食べ物を吸収する内ぞう,,15,ちょう,,,
頂く,いただく,もらうことのへりくだった言い方,,15,いただく,,,
家賃,やちん,家を借りる代金,,15,やちん,,,
痛い,いたい,けがなどでつらい,,15,いたい,,,
敵,てき,たたかう相手,,15,てき,,,
発展,はってん,大きくのびていくこと,,15,はってん,,,
政党,せいとう,同じ考えの人の集まり,,15,せいとう,,,
砂糖,さとう,あまい調味料,,15,さとう,,,
討論,とうろん,意見をたたかわせること,,15,とうろん,,,
届く,とどく,相手のところへ着く,,15,とどく,,,
難しい,むずかしい,解くのがたいへんだ,,15,むずかしい,,,
牛乳,ぎゅうにゅう,牛から取れる飲み物,,15,ぎゅうにゅう,,,
認める,みとめる,そうだと受け入れる,,15,みとめる,,,
納める,おさめる,決められた所へわたす,,15,おさめる,,,
脳,のう,考えたり覚えたりする器官,,15,のう,,,
立派,りっぱ,見事であること,,15,りっぱ,,,
俳句,はいく,五七五の短い詩,,15,はいく,,,
拝む,おがむ,手を合わせていのる,,15,おがむ,,,
背,せ,体の後ろがわ,,15,せ,,,
肺,はい,息をするための内ぞう,,15,はい,,,
班,はん,分けられた小さな組,,15,はん,,,
晩,ばん,日が暮れてからの時,,15,ばん,,,
否定,ひてい,ちがうと打ち消すこと,,15,ひてい,,,
批判,ひはん,よしあしを論じること,,15,ひはん,,,
秘密,ひみつ,人に知らせないこと,,15,ひみつ,,,
土俵,どひょう,すもうを取る場所,,15,どひょう,,,
腹,はら,おなかのこと,,15,はら,,,
興奮,こうふん,気持ちが高ぶること,,15,こうふん,,,
並ぶ,ならぶ,列になる,,15,ならぶ,,,
閉じる,とじる,開いていたものをふさぐ,,15,とじる,,,
陛下,へいか,天皇をうやまう言い方,,15,へいか,,,
片方,かたほう,二つのうちの一つ,,15,かたほう,,,
補う,おぎなう,足りない分を足す,,15,おぎなう,,,
暮らす,くらす,毎日をすごす,,15,くらす,,,
宝,たから,大切でねうちのあるもの,,15,たから,,,
訪れる,おとずれる,たずねて行く,,15,おとずれる,,,
亡くなる,なくなる,命がつきる,,15,なくなる,,,
忘れる,わすれる,覚えていたことが消える,,15,わすれる,,,
棒,ぼう,細長いかたいもの,,15,ぼう,,,
一枚,いちまい,うすいものを数える言い方,,15,いちまい,,,
開幕,かいまく,もよおしが始まること,,15,かいまく,,,
密度,みつど,つまりぐあい,,15,みつど,,,
同盟,どうめい,たがいに助け合う約束,,15,どうめい,,,
模型,もけい,実物に似せて作ったもの,,15,もけい,,,
訳,わけ,そうなった理由,,15,わけ,,,
優しい,やさしい,思いやりがある,,15,やさしい,,,
郵便,ゆうびん,手紙をとどけるしくみ,,15,ゆうびん,,,
預ける,あずける,相手に持っていてもらう,,15,あずける,,,
幼い,おさない,年がとても小さい,,15,おさない,,,
欲しい,ほしい,手に入れたいと思う,,15,ほしい,,,
翌日,よくじつ,その次の日,,15,よくじつ,,,
乱れる,みだれる,きちんとした形がくずれる,,15,みだれる,,,
卵,たまご,鳥や魚が産むもの,,15,たまご,,,
展覧会,てんらんかい,作品を見せる会,,15,てんらんかい,,,
裏,うら,表の反対がわ,,15,うら,,,
法律,ほうりつ,国のきまり,,15,ほうりつ,,,
臨む,のぞむ,その場に出る,,15,のぞむ,,,
朗らか,ほがらか,気持ちが明るい,,15,ほがらか,,,
論じる,ろんじる,すじ道を立ててのべる,,15,ろんじる,,,
