問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
手帳,てちょう,書きこむ小さな本,,15,てちょう,,,
調べる,しらべる,わからないことをはっきりさせる,,15,しらべる,,,
追う,おう,後ろからついて行く,,15,おう,,,
定める,さだめる,きちんときめる,,15,さだめる,,,
庭,にわ,家のまわりの土地,,15,にわ,,,
笛,ふえ,ふいて音を出す楽器,,15,ふえ,,,
鉄,てつ,かたくて強い金ぞく,,15,てつ,,,
転がる,ころがる,くるくると回って動く,,15,ころがる,,,
登る,のぼる,高い所へ上がる,,15,のぼる,,,
都会,とかい,人が多く集まる町,,15,とかい,,,
温度,おんど,あついかつめたいかの目もり,,15,おんど,,,
島,しま,まわりを海にかこまれた陸,,15,しま,,,
投げる,なげる,手で遠くへとばす,,15,なげる,,,
湯,ゆ,わかしたあたたかい水,,15,ゆ,,,
等しい,ひとしい,同じである,,15,ひとしい,,,
豆,まめ,小さくてまるい食べ物,,15,まめ,,,
動く,うごく,位置や形が変わる,,15,うごく,,,
童話,どうわ,子ども向けのお話,,15,どうわ,,,
農家,のうか,作物を作る家,,15,のうか,,,
波,なみ,水面の上下の動き,,15,なみ,,,
配る,くばる,みんなに行きわたらせる,,15,くばる,,,
倍,ばい,二つ分の大きさ,,15,ばい,,,
箱,はこ,物を入れる四角い入れ物,,15,はこ,,,
畑,はたけ,作物を育てる土地,,15,はたけ,,,
発表,はっぴょう,みんなの前で知らせること,,15,はっぴょう,,,
反対,はんたい,ぎゃくであること,,15,はんたい,,,
板,いた,木をうすく平らにしたもの,,15,いた,,,
悲しい,かなしい,つらくて泣きたい気持ち,,15,かなしい,,,
皮,かわ,表面をおおうもの,,15,かわ,,,
美しい,うつくしい,見ていて心地よい,,15,うつくしい,,,
鼻,はな,においをかぐところ,,15,はな,,,
筆,ふで,字や絵をかく道具,,15,ふで,,,
氷,こおり,水がこおって固くなったもの,,15,こおり,,,
表,おもて,外から見える方,,15,おもて,,,
病気,びょうき,体の調子がわるくなること,,15,びょうき,,,
秒,びょう,時間のいちばん小さい単位,,15,びょう,,,
品物,しなもの,売り買いされるもの,,15,しなもの,,,
負ける,まける,相手にかなわない,,15,まける,,,
部分,ぶぶん,ぜんたいの中の一部,,15,ぶぶん,,,
服,ふく,体に着るもの,,15,ふく,,,
幸福,こうふく,しあわせなこと,,15,こうふく,,,
動物,どうぶつ,動いて生きるいきもの,,15,どうぶつ,,,
平ら,たいら,でこぼこがない,,15,たいら,,,
返す,かえす,もとの人にもどす,,15,かえす,,,
勉強,べんきょう,学んで力をつけること,,15,べんきょう,,,
放す,はなす,つかまえていたものを自由にする,,15,はなす,,,
味,あじ,舌で感じるもの,,15,あじ,,,
命,いのち,生きている力,,15,いのち,,,
画面,がめん,映し出されるところ,,15,がめん,,,
問い,とい,答えをもとめる文,,15,とい,,,
役目,やくめ,受け持つ仕事,,15,やくめ,,,
薬,くすり,病気をなおすために飲むもの,,15,くすり,,,
油,あぶら,水にとけないねばるえき,,15,あぶら,,,
有名,ゆうめい,多くの人に知られていること,,15,ゆうめい,,,
自由,じゆう,思いどおりにできること,,15,じゆう,,,
遊ぶ,あそぶ,好きなことをしてたのしむ,,15,あそぶ,,,
予定,よてい,前もってきめたこと,,15,よてい,,,
様子,ようす,そのときのありさま,,15,ようす,,,
洋服,ようふく,西洋風の着るもの,,15,ようふく,,,
羊,ひつじ,毛が取れる動物,,15,ひつじ,,,
葉っぱ,はっぱ,木や草のみどりの部分,,15,はっぱ,,,
太陽,たいよう,空でかがやく星,,15,たいよう,,,
落ちる,おちる,上から下へ動く,,15,おちる,,,
流れる,ながれる,水などが動いていく,,15,ながれる,,,
旅,たび,遠くへ出かけること,,15,たび,,,
両手,りょうて,左右のて,,15,りょうて,,,
緑,みどり,草や木の色,,15,みどり,,,
お礼,おれい,かんしゃの気持ちを表すこと,,15,おれい,,,
行列,ぎょうれつ,ならんで待つ人の集まり,,15,ぎょうれつ,,,
練習,れんしゅう,くり返してうまくなること,,15,れんしゅう,,,
道路,どうろ,車が通る道,,15,どうろ,,,
平和,へいわ,争いがないこと,,15,へいわ,,,
