問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
雪,ゆき,空からふる白いつぶ,,15,ゆき,,,
直線,ちょくせん,まっすぐな線,,15,ちょくせん,,,
船,ふね,水の上を進む乗り物,,15,ふね,,,
前,まえ,顔が向いている方,,15,まえ,,,
組む,くむ,合わせて一つにする,,15,くむ,,,
走る,はしる,足を速く動かして進む,,15,はしる,,,
多い,おおい,数がたくさんある,,15,おおい,,,
太い,ふとい,まわりが大きい,,15,ふとい,,,
体,からだ,人や動物のすがたそのもの,,15,からだ,,,
台風,たいふう,強い風と雨をもたらすもの,,15,たいふう,,,
谷,たに,山と山の間のくぼんだところ,,15,たに,,,
知る,しる,わかるようになる,,15,しる,,,
土地,とち,たてものをたてる場所,,15,とち,,,
池,いけ,水がたまったところ,,15,いけ,,,
茶色,ちゃいろ,土のような色,,15,ちゃいろ,,,
昼,ひる,太陽が高くのぼる時間,,15,ひる,,,
朝,あさ,一日のはじめ,,15,あさ,,,
長い,ながい,はしからはしまでが大きい,,15,ながい,,,
鳥,とり,つばさで空をとぶ生きもの,,15,とり,,,
直す,なおす,わるいところをただす,,15,なおす,,,
通る,とおる,その道を進んでいく,,15,とおる,,,
弟,おとうと,年下の男のきょうだい,,15,おとうと,,,
店,みせ,品物を売るところ,,15,みせ,,,
点,てん,小さなしるし,,15,てん,,,
電気,でんき,あかりや機械を動かす力,,15,でんき,,,
冬,ふゆ,さむいきせつ,,15,ふゆ,,,
刀,かたな,むかしのたたかいの道具,,15,かたな,,,
東,ひがし,日がのぼる方角,,15,ひがし,,,
当たる,あたる,ねらいどおりになる,,15,あたる,,,
答え,こたえ,問いに対する返事,,15,こたえ,,,
頭,あたま,体のいちばん上,,15,あたま,,,
同じ,おなじ,ちがいがない,,15,おなじ,,,
道,みち,人や車が通るところ,,15,みち,,,
読む,よむ,文字を声や目でたどる,,15,よむ,,,
内がわ,うちがわ,ものの中の方,,15,うちがわ,,,
南,みなみ,北の反対の方角,,15,みなみ,,,
肉,にく,動物の食べられる部分,,15,にく,,,
馬,うま,人を乗せて走る動物,,15,うま,,,
買う,かう,お金をはらって手に入れる,,15,かう,,,
売る,うる,お金と引きかえにわたす,,15,うる,,,
麦,むぎ,パンやめんの元になる作物,,15,むぎ,,,
半分,はんぶん,二つに分けた一つ,,15,はんぶん,,,
番号,ばんごう,順番を表す数字,,15,ばんごう,,,
父,ちち,男親のこと,,15,ちち,,,
風,かぜ,空気の流れ,,15,かぜ,,,
分ける,わける,いくつかにしてくばる,,15,わける,,,
聞く,きく,耳で音をとらえる,,15,きく,,,
米,こめ,ごはんになる作物,,15,こめ,,,
歩く,あるく,足を動かして進む,,15,あるく,,,
母,はは,女親のこと,,15,はは,,,
方角,ほうがく,東西南北のむき,,15,ほうがく,,,
北,きた,南の反対の方角,,15,きた,,,
妹,いもうと,年下の女のきょうだい,,15,いもうと,,,
毎日,まいにち,一日も休まずに続くこと,,15,まいにち,,,
一万,いちまん,千の十倍の数,,15,いちまん,,,
明るい,あかるい,光があってよく見える,,15,あかるい,,,
鳴く,なく,動物が声を出す,,15,なく,,,
毛,け,体にはえる細いもの,,15,け,,,
門,もん,家や学校の出入り口,,15,もん,,,
夜,よる,暗くなってからの時間,,15,よる,,,
野原,のはら,草がしげる広いところ,,15,のはら,,,
矢,や,弓でとばす細いぼう,,15,や,,,
友だち,ともだち,なかよくしている人,,15,ともだち,,,
日曜日,にちようび,一週間の休みの日,,15,にちようび,,,
用心,ようじん,気をつけること,,15,ようじん,,,
来る,くる,こちらへ近づく,,15,くる,,,
理由,りゆう,そうなったわけ,,15,りゆう,,,
里,さと,人が住む山あいの村,,15,さと,,,
話す,はなす,声に出して伝える,,15,はなす,,,
