問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
効果,こうか,ききめ,,15,こうか,,,
厚い,あつい,ぶあつい,,15,あつい,,,
耕作,こうさく,田や畑をたがやすこと,,15,こうさく,,,
航空,こうくう,空を飛んで行き来すること,,15,こうくう,,,
鉱山,こうざん,金属をほり出す山,,15,こうざん,,,
構成,こうせい,組み立て,,15,こうせい,,,
興味,きょうみ,おもしろいと思う気持ち,,15,きょうみ,,,
講演,こうえん,人前で話をすること,,15,こうえん,,,
報告,ほうこく,結果を知らせること,,15,ほうこく,,,
混合,こんごう,まぜ合わせること,,15,こんごう,,,
調査,ちょうさ,くわしく調べること,,15,ちょうさ,,,
再会,さいかい,もう一度会うこと,,15,さいかい,,,
災害,さいがい,地震や台風などの大きな被害,,15,さいがい,,,
妻,つま,結婚している女の人,,15,つま,,,
採集,さいしゅう,集めて取ること,,15,さいしゅう,,,
国際,こくさい,国と国のあいだ,,15,こくさい,,,
不在,ふざい,その場にいないこと,,15,ふざい,,,
財産,ざいさん,持っているお金や品物,,15,ざいさん,,,
犯罪,はんざい,法をやぶる悪いおこない,,15,はんざい,,,
殺す,ころす,命をうばう,,15,ころす,,,
雑草,ざっそう,自然に生えてくる草,,15,ざっそう,,,
酸性,さんせい,なめるとすっぱい性質,,15,さんせい,,,
賛同,さんどう,よい考えだと同じ意見になること,,15,さんどう,,,
力士,りきし,すもうをとる人,,15,りきし,,,
支店,してん,本店から分かれた店,,15,してん,,,
歴史,れきし,むかしから今までの移り変わり,,15,れきし,,,
意志,いし,こうしたいという強い気持ち,,15,いし,,,
枝,えだ,木のみきから分かれた部分,,15,えだ,,,
教師,きょうし,先生,,15,きょうし,,,
資料,しりょう,調べるもとになる材料,,15,しりょう,,,
飼育,しいく,動物を育てること,,15,しいく,,,
指示,しじ,こうしなさいと伝えること,,15,しじ,,,
似る,にる,同じように見える,,15,にる,,,
知識,ちしき,知っていることがら,,15,ちしき,,,
質問,しつもん,たずねること,,15,しつもん,,,
校舎,こうしゃ,学校の建物,,15,こうしゃ,,,
感謝,かんしゃ,ありがたいと思うこと,,15,かんしゃ,,,
授業,じゅぎょう,学校で教わる時間,,15,じゅぎょう,,,
修理,しゅうり,こわれた所を直すこと,,15,しゅうり,,,
述べる,のべる,考えを言葉にして言う,,15,のべる,,,
手術,しゅじゅつ,体を切って病気を治すこと,,15,しゅじゅつ,,,
準備,じゅんび,前もって用意すること,,15,じゅんび,,,
順序,じゅんじょ,ならぶ順番,,15,じゅんじょ,,,
招待,しょうたい,客としてまねくこと,,15,しょうたい,,,
証明,しょうめい,確かだと示すこと,,15,しょうめい,,,
印象,いんしょう,心に残った感じ,,15,いんしょう,,,
賞品,しょうひん,ほうびの品物,,15,しょうひん,,,
条件,じょうけん,そうするために必要なこと,,15,じょうけん,,,
状態,じょうたい,そのときのようす,,15,じょうたい,,,
日常,にちじょう,ふだんの毎日,,15,にちじょう,,,
感情,かんじょう,うれしい悲しいなどの気持ち,,15,かんじょう,,,
組織,そしき,人が集まって作るまとまり,,15,そしき,,,
職業,しょくぎょう,仕事,,15,しょくぎょう,,,
制度,せいど,社会の決まりや仕組み,,15,せいど,,,
性質,せいしつ,もともと持っている特徴,,15,せいしつ,,,
政治,せいじ,国や地域をおさめること,,15,せいじ,,,
勢い,いきおい,いきいきとした力,,15,いきおい,,,
精神,せいしん,こころ,,15,せいしん,,,
製品,せいひん,作られた品物,,15,せいひん,,,
税金,ぜいきん,国や市におさめるお金,,15,ぜいきん,,,
責任,せきにん,引き受けてやりとげる務め,,15,せきにん,,,
成績,せいせき,できばえの結果,,15,せいせき,,,
直接,ちょくせつ,あいだに何もはさまないこと,,15,ちょくせつ,,,
設計,せっけい,作るための図をかくこと,,15,せっけい,,,
絶対,ぜったい,かならず,,15,ぜったい,,,
祖父,そふ,おじいさん,,15,そふ,,,
素直,すなお,ひねくれていないこと,,15,すなお,,,
総合,そうごう,ぜんぶをまとめること,,15,そうごう,,,
製造,せいぞう,品物を作ること,,15,せいぞう,,,
想像,そうぞう,頭の中で思いえがくこと,,15,そうぞう,,,
増加,ぞうか,数がふえること,,15,ぞうか,,,
法則,ほうそく,いつも成り立つきまり,,15,ほうそく,,,
測定,そくてい,はかって数で表すこと,,15,そくてい,,,
金属,きんぞく,鉄や銅などのかたい材料,,15,きんぞく,,,
効率,こうりつ,むだの少なさ,,15,こうりつ,,,
損害,そんがい,失うこと,,15,そんがい,,,
貸す,かす,相手に使わせる,,15,かす,,,
態度,たいど,ふるまい方,,15,たいど,,,
団体,だんたい,人の集まり,,15,だんたい,,,
判断,はんだん,考えて決めること,,15,はんだん,,,
建築,けんちく,建物をたてること,,15,けんちく,,,
貯金,ちょきん,お金をためること,,15,ちょきん,,,
主張,しゅちょう,自分の考えを強く言うこと,,15,しゅちょう,,,
停止,ていし,止まること,,15,ていし,,,
提出,ていしゅつ,出すこと,,15,ていしゅつ,,,
程度,ていど,どのくらいかの目安,,15,ていど,,,
適切,てきせつ,ちょうどよいこと,,15,てきせつ,,,
統一,とういつ,ひとつにまとめること,,15,とういつ,,,
食堂,しょくどう,食事をする場所,,15,しょくどう,,,
銅像,どうぞう,銅で作った像,,15,どうぞう,,,
指導,しどう,教えみちびくこと,,15,しどう,,,
得意,とくい,うまくできること,,15,とくい,,,
毒,どく,体に害のあるもの,,15,どく,,,
独立,どくりつ,ひとりで立つこと,,15,どくりつ,,,
任務,にんむ,引き受けた仕事,,15,にんむ,,,
燃える,もえる,火がつく,,15,もえる,,,
能力,のうりょく,できる力,,15,のうりょく,,,
破れる,やぶれる,さけてこわれる,,15,やぶれる,,,
犯人,はんにん,罪をおかした人,,15,はんにん,,,
判定,はんてい,どちらかを見分けて決めること,,15,はんてい,,,
出版,しゅっぱん,本を作って世に出すこと,,15,しゅっぱん,,,
比べる,くらべる,ちがいを見る,,15,くらべる,,,
肥料,ひりょう,作物を育てる養分,,15,ひりょう,,,
非常,ひじょう,ふつうでないこと,,15,ひじょう,,,
費用,ひよう,かかるお金,,15,ひよう,,,
設備,せつび,そなえつけたもの,,15,せつび,,,
評判,ひょうばん,世の中の言われ方,,15,ひょうばん,,,
貧しい,まずしい,お金や物が足りない,,15,まずしい,,,
分布,ぶんぷ,ちらばり方,,15,ぶんぷ,,,
主婦,しゅふ,家のことを受け持つ女の人,,15,しゅふ,,,
武士,ぶし,むかしの戦う身分の人,,15,ぶし,,,
復習,ふくしゅう,習ったことをもう一度学ぶこと,,15,ふくしゅう,,,
複数,ふくすう,二つ以上,,15,ふくすう,,,
仏像,ぶつぞう,ほとけの姿をかたどった像,,15,ぶつぞう,,,
粉,こな,細かくくだいたもの,,15,こな,,,
編集,へんしゅう,集めてまとめること,,15,へんしゅう,,,
弁当,べんとう,持ち運べるように詰めた食事,,15,べんとう,,,
保健,ほけん,健康を守ること,,15,ほけん,,,
墓,はか,なくなった人をまつる場所,,15,はか,,,
情報,じょうほう,ものごとの知らせ,,15,じょうほう,,,
豊か,ゆたか,たくさんあってゆとりがある,,15,ゆたか,,,
予防,よぼう,前もって防ぐこと,,15,よぼう,,,
貿易,ぼうえき,外国と品物を売り買いすること,,15,ぼうえき,,,
暴風,ぼうふう,激しい風,,15,ぼうふう,,,
山脈,さんみゃく,つらなった山々,,15,さんみゃく,,,
事務,じむ,書類などを扱う仕事,,15,じむ,,,
夢,ゆめ,ねむっている間に見るもの,,15,ゆめ,,,
迷う,まよう,どうするか決められない,,15,まよう,,,
綿,わた,やわらかくて白い繊維,,15,わた,,,
輸出,ゆしゅつ,外国へ品物を送り出すこと,,15,ゆしゅつ,,,
余る,あまる,使いきれずに残る,,15,あまる,,,
内容,ないよう,中身,,15,ないよう,,,
省略,しょうりゃく,はぶくこと,,15,しょうりゃく,,,
留学,りゅうがく,外国で学ぶこと,,15,りゅうがく,,,
領土,りょうど,その国がおさめる土地,,15,りょうど,,,
経歴,けいれき,これまでにしてきたこと,,15,けいれき,,,
